Cell id,Area,Perimeter,R_inscribing,R_circumscribing,Convex hull area,Convex hull perimeter,Major axis length,Minor axis length,Centroids
1.0,789,122,10.770329614269007,19.849433241279208,829,122,38.2,28.0,"(1856.0 , 14.0)"
2.0,1927,198,16.401219466856727,32.202484376209235,1995,198,62.4,46.0,"(398.0 , 26.0)"
3.0,2286,218,20.518284528683193,32.802438933713454,2377,218,64.1,47.0,"(274.0 , 30.0)"
4.0,1525,194,12.206555615733702,31.38470965295043,1645,194,60.9,34.0,"(647.0 , 24.0)"
5.0,1302,166,14.317821063276353,24.758836806279895,1424,166,47.0,45.0,"(1054.0 , 27.0)"
6.0,2017,272,10.770329614269007,49.72926703662542,2414,266,96.4,34.0,"(1402.0 , 22.0)"
7.0,1024,150,11.661903789690601,25.495097567963924,1086,150,50.3,28.0,"(831.0 , 33.0)"
8.0,869,130,11.40175425099138,21.95449840010015,925,130,40.0,34.0,"(1622.0 , 35.0)"
9.0,1857,204,17.029386365926403,35.4682957019364,1929,204,66.6,40.0,"(1303.0 , 49.0)"
10.0,1354,184,8.246211251235321,31.304951684997057,1524,180,61.8,36.0,"(1662.0 , 41.0)"
11.0,1266,162,14.422205101855956,23.769728648009426,1344,162,44.1,38.0,"(1826.0 , 44.0)"
12.0,1328,176,13.038404810405298,28.635642126552707,1457,176,54.7,35.0,"(730.0 , 53.0)"
13.0,1304,178,11.661903789690601,30.01666203960727,1393,178,56.9,32.0,"(1729.0 , 54.0)"
14.0,2030,212,15.0,31.953090617340916,2154,212,62.6,43.0,"(859.0 , 62.0)"
15.0,963,140,12.529964086141668,22.02271554554524,1005,140,43.2,29.0,"(1927.0 , 49.0)"
16.0,1989,216,14.7648230602334,37.64306044943742,2128,216,70.2,44.0,"(600.0 , 61.0)"
17.0,1412,168,15.524174696260024,25.553864678361276,1472,168,49.7,37.0,"(934.0 , 56.0)"
18.0,1148,166,12.041594578792296,29.732137494637012,1200,166,55.9,29.0,"(1433.0 , 57.0)"
19.0,991,142,13.892443989449804,24.20743687382041,1042,142,43.0,33.0,"(1467.0 , 57.0)"
20.0,2045,206,17.4928556845359,34.713109915419565,2111,206,64.4,44.0,"(212.0 , 66.0)"
21.0,1104,152,14.7648230602334,20.615528128088304,1194,152,39.8,37.0,"(1516.0 , 64.0)"
22.0,817,140,9.055385138137417,24.413111231467404,865,140,46.5,23.0,"(1763.0 , 65.0)"
23.0,1561,198,11.704699910719626,31.575306807693888,1744,198,59.5,34.0,"(1980.0 , 71.0)"
24.0,2405,284,17.46424919657298,46.06517122512408,3079,270,83.7,56.0,"(1086.0 , 86.0)"
25.0,1913,208,17.0,32.202484376209235,2049,208,58.8,48.0,"(1365.0 , 72.0)"
26.0,1114,144,12.806248474865697,23.706539182259394,1164,144,45.5,37.0,"(91.0 , 65.0)"
27.0,1687,186,14.7648230602334,29.732137494637012,1769,186,55.9,43.0,"(344.0 , 72.0)"
28.0,994,143,11.180339887498949,21.93171219946131,1035,144,43.2,30.0,"(770.0 , 71.0)"
29.0,1192,156,14.317821063276353,23.08679276123039,1244,156,45.6,36.0,"(1030.0 , 70.0)"
30.0,2282,218,17.11724276862369,32.64965543462902,2422,218,64.5,49.0,"(1185.0 , 85.0)"
31.0,1267,162,16.401219466856727,22.360679774997898,1334,162,42.6,39.0,"(809.0 , 78.0)"
32.0,2579,234,19.313207915827967,36.796738985948195,2728,234,69.1,51.0,"(1875.0 , 87.0)"
33.0,1559,178,14.317821063276353,29.732137494637012,1673,174,56.1,42.0,"(2014.0 , 87.0)"
34.0,1385,170,15.0,27.51363298439521,1448,170,53.5,34.0,"(1793.0 , 92.0)"
35.0,1637,188,13.601470508735444,29.732137494637012,1758,188,55.3,42.0,"(643.0 , 91.0)"
36.0,1369,174,12.041594578792296,27.313000567495326,1504,174,49.8,39.0,"(1681.0 , 96.0)"
37.0,2808,298,16.0,43.01162633521314,3397,280,84.5,56.0,"(1236.0 , 104.0)"
38.0,1584,174,18.24828759089466,26.0,1639,174,51.6,39.0,"(430.0 , 102.0)"
39.0,1507,172,17.46424919657298,27.313000567495326,1581,172,50.0,38.0,"(1575.0 , 106.0)"
40.0,748,138,7.211102550927978,24.20743687382041,814,138,46.0,21.0,"(1742.0 , 100.0)"
41.0,948,140,13.152946437965905,21.587033144922902,998,140,39.9,35.0,"(1953.0 , 104.0)"
42.0,1951,218,14.317821063276353,39.395431207184416,2099,218,74.0,37.0,"(1470.0 , 124.0)"
43.0,2016,208,16.1245154965971,35.510561809129406,2126,208,67.7,37.0,"(24.0 , 125.0)"
44.0,1093,158,12.36931687685298,24.73863375370596,1194,158,48.3,30.0,"(781.0 , 110.0)"
45.0,1487,180,14.866068747318506,27.51363298439521,1567,180,53.6,37.0,"(1031.0 , 123.0)"
46.0,1927,200,15.0,30.805843601498726,2021,200,60.9,43.0,"(871.0 , 129.0)"
47.0,852,150,7.211102550927978,25.0,947,150,47.4,24.0,"(275.0 , 124.0)"
48.0,1558,172,17.08800749063506,26.92582403567252,1614,172,50.1,40.0,"(1411.0 , 122.0)"
49.0,1420,170,13.892443989449804,30.364452901377952,1489,170,58.0,30.0,"(835.0 , 131.0)"
50.0,1501,188,14.317821063276353,27.294688127912362,1689,188,52.2,49.0,"(1918.0 , 136.0)"
51.0,1141,150,15.297058540778355,21.93171219946131,1193,150,43.3,35.0,"(698.0 , 130.0)"
52.0,1332,184,10.0,32.984845004941285,1440,184,64.8,30.0,"(1507.0 , 147.0)"
53.0,2675,306,12.0,37.48332962798263,3189,260,71.4,55.0,"(1971.0 , 149.0)"
54.0,1106,144,14.035668847618199,23.600847442411894,1135,144,43.4,34.0,"(1305.0 , 133.0)"
55.0,1169,152,11.045361017187261,24.041630560342615,1239,152,45.3,36.0,"(2015.0 , 138.0)"
56.0,1551,186,14.866068747318506,31.016124838541646,1658,186,61.8,33.0,"(63.0 , 151.0)"
57.0,1183,156,12.0,26.30589287593181,1248,156,50.9,29.0,"(1675.0 , 139.0)"
58.0,2742,252,20.615528128088304,36.124783736376884,2911,252,69.3,53.0,"(145.0 , 158.0)"
59.0,1380,166,15.652475842498529,25.298221281347036,1442,166,50.0,35.0,"(355.0 , 146.0)"
60.0,980,148,9.055385138137417,23.53720459187964,1057,148,45.4,30.0,"(1889.0 , 152.0)"
61.0,1385,166,15.033296378372908,25.709920264364882,1460,166,50.2,35.0,"(1801.0 , 147.0)"
62.0,695,126,7.810249675906654,20.248456731316587,743,126,40.5,23.0,"(289.0 , 153.0)"
63.0,1388,182,13.038404810405298,29.68164415931166,1489,182,58.0,33.0,"(649.0 , 167.0)"
64.0,1414,174,14.317821063276353,29.410882339705484,1470,174,56.3,32.0,"(1001.0 , 159.0)"
65.0,1250,184,9.433981132056603,31.622776601683793,1380,184,61.7,27.0,"(405.0 , 174.0)"
66.0,3164,280,19.924858845171276,47.16990566028302,3349,280,90.8,48.0,"(1405.0 , 176.0)"
67.0,848,148,8.0,21.470910553583888,1000,148,39.8,38.0,"(1477.0 , 169.0)"
68.0,1269,170,12.041594578792296,29.410882339705484,1312,170,58.2,29.0,"(779.0 , 168.0)"
69.0,1216,152,14.142135623730951,23.345235059857504,1283,152,45.3,38.0,"(1072.0 , 177.0)"
70.0,1407,224,8.94427190999916,38.600518131237564,1681,214,75.0,27.0,"(1559.0 , 191.0)"
71.0,696,122,8.06225774829855,19.313207915827967,742,122,36.2,27.0,"(1604.0 , 180.0)"
72.0,1529,188,14.317821063276353,30.479501308256342,1662,188,55.3,43.0,"(1230.0 , 188.0)"
73.0,1642,198,13.45362404707371,31.622776601683793,1744,198,61.1,37.0,"(988.0 , 193.0)"
74.0,2086,234,13.92838827718412,40.22437072223753,2202,234,79.9,35.0,"(1680.0 , 200.0)"
75.0,1505,206,7.280109889280518,37.33630940518894,1681,200,68.9,30.0,"(1638.0 , 201.0)"
